tax	taxprio	taxprio_orig	taxo_id	patrimonial	invasif	Ordre	Family
Ceratopogonidae	Ceratopogonidae	Ceratopogonidae	414	0	0	Diptères	Ceratopogonidae
Sigara distincta	Sigara distincta	Sigara distincta	9684	0	0	Hétéroptères	Corixidae
Cloeon dipterum	Cloeon dipterum	Cloeon dipterum	8901	0	0	Ephéméroptères	Baetidae
Coenagrionidae	Coenagrionidae	Coenagrionidae	323	0	0	Libellules	Coenagrionidae
Sigara sp.	Sigara 	Sigara sp.	2646	0	0	Hétéroptères	Corixidae
Plea leachi	Plea minutissima	Plea minutissima	9864	0	0	Hétéroptères	Pleidae
Chironomidae	Chironomidae	Chironomidae	416	0	0	Diptères	Chironomidae
Hesperocorixa sahlbergi	Hesperocorixa sahlbergi	Hesperocorixa sahlbergi	9707	0	0	Hétéroptères	Corixidae
Rhantus frontalis	Rhantus frontalis	Rhantus frontalis	8654	0	0	Coléoptères	Dytiscidae
Hydroglyphus pusillus	Hydroglyphus pusillus	Hydroglyphus pusillus	8595	0	0	Coléoptères	Dytiscidae
Caenis horaria	Caenis horaria	Caenis horaria	8906	0	0	Ephéméroptères	Caenidae
Tubificidae	Tubificidae	Tubificidae	380	0	0	Annelides	Tubificidae
Sigara nigrolineata	Sigara nigrolineata	Sigara nigrolineata	9693	0	0	Hétéroptères	Corixidae
Acroloxus lacustris	Acroloxus lacustris	Acroloxus lacustris	13021	0	0	Mollusques Gastérop.	Acroloxidae
Corixa punctata	Corixa punctata	Corixa punctata	9715	0	0	Hétéroptères	Corixidae
Limnephilus flavicornis	Limnephilus flavicornis	Limnephilus flavicornis	9199	0	0	Trichoptères	Limnephilidae
Gammarus pulex	Gammarus pulex	Gammarus pulex	8878	0	0	Crustacés	Gammaridae
Limnephilus centralis	Limnephilus centralis	Limnephilus centralis	9194	0	0	Trichoptères	Limnephilidae
Limnephilus vittatus	Limnephilus vittatus	Limnephilus vittatus	9214	0	0	Trichoptères	Limnephilidae
Caenis robusta	Caenis robusta	Caenis robusta	8910	0	0	Ephéméroptères	Caenidae
Culicidae	Culicidae	Culicidae	417	0	0	Diptères	Culicidae
Agabus sp.	Agabus 	Agabus sp.	2164	0	0	Coléoptères	Dytiscidae
Lymnaea palustris	Lymnaea palustris	Lymnaea palustris	17924	0	0	Mollusques Gastérop.	Lymnaeidae
Gerris argentatus	Gerris argentatus	Gerris argentatus	9659	0	0	Hétéroptères	Gerridae
Hydracarien	Hydracarien	Hydracarien	382	0	0	Divers Arthropodes	Hydracarien
